location,ssid,network type,authentication,encryption,bssid,dbm,radio_type,channel
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4a:31,-88.0,802.11ac,124
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4f:71,-84.0,802.11ac,116
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:a1,-82.0,802.11n,11
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:b1,-79.0,802.11ac,153
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:51:d0,-89.0,802.11ac,64
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:55:91,-92.0,802.11ac,132
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:57:51,-82.0,802.11ac,56
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:63:90,-88.0,802.11ac,60
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:66:31,-86.0,802.11ac,48
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:81,-73.0,802.11n,6
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:91,-64.0,802.11ac,60
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,f4:2e:7f:24:47:10,-90.0,802.11ac,124
GSR2-1,HELLA_DR 760_2771AB,Infrastructure,,CCMP,90:de:80:27:71:ab,-90.0,802.11n,6
GSR2-1,i-DRIVE_i12pro_A5ADD0,Infrastructure,,CCMP,90:de:80:a5:ad:d0,-87.0,802.11n,6
GSR2-1,IROAD_V9_9BAB67,Infrastructure,,CCMP,00:0b:81:9b:ab:67,-68.0,802.11n,6
GSR2-1,IROAD_X9_28AD97,Infrastructure,,CCMP,1c:bf:ce:28:ad:97,-90.0,802.11n,6
GSR2-1,SMU_Visitor,Infrastructure,Open,,18:64:72:4c:9a:61,-61.0,802.11n,1
GSR2-1,SMU_Visitor,Infrastructure,Open,,18:64:72:4c:9a:71,-64.0,802.11ac,36
GSR2-1,SMU_Visitor,Infrastructure,Open,,18:64:72:5e:a9:71,-94.0,802.11ac,149
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:62:1f:b1,-87.0,802.11ac,120
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:62:a0:20,-81.0,802.11n,6
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:62:a0:30,-82.0,802.11ac,112
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:30:90,-81.0,802.11ac,149
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:35:50,-85.0,802.11ac,104
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:4f:70,-84.0,802.11ac,116
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:50:a0,-81.0,802.11n,11
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:50:b0,-79.0,802.11ac,153
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:51:d1,-89.0,802.11ac,64
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:55:90,-92.0,802.11ac,132
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:57:50,-82.0,802.11ac,56
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:63:91,-88.0,802.11ac,60
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:66:30,-87.0,802.11ac,48
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:6b:80,-73.0,802.11n,6
GSR2-1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:6b:90,-64.0,802.11ac,60
GSR2-1,SMU_Visitor,Infrastructure,Open,,b4:5d:50:fd:b4:d0,-95.0,802.11ac,52
GSR2-1,SMU_Visitor,Infrastructure,Open,,f4:2e:7f:24:47:11,-90.0,802.11ac,124
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:60,-61.0,802.11n,1
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:70,-64.0,802.11ac,36
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:1f:b2,-87.0,802.11ac,120
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:a0:32,-82.0,802.11ac,112
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:82,-77.0,802.11n,1
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:92,-81.0,802.11ac,149
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:35:52,-85.0,802.11ac,104
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4a:22,-87.0,802.11n,11
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4a:32,-88.0,802.11ac,124
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4f:72,-84.0,802.11ac,116
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:b2,-79.0,802.11ac,153
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:51:d2,-89.0,802.11ac,64
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:55:92,-93.0,802.11ac,132
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:57:52,-82.0,802.11ac,56
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:63:92,-88.0,802.11ac,60
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:66:32,-87.0,802.11ac,48
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:82,-73.0,802.11n,6
GSR2-1,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:92,-65.0,802.11ac,60
