location,network_name,ssid,bssid,security_type,band,bandwidth,phy,rssi,bi,age
GSR2-1,i-DRIVE_i12pro_A5ADD0,i-DRIVE_i12pro_A5ADD0,90:de:80:a5:ad:d0,wpa2-personal,2g6,20,n,-87,100,0ms
GSR2-1,IROAD_V9_9BAB67,IROAD_V9_9BAB67,00:0b:81:9b:ab:67,wpa2-personal,2g6,20,n,-68,100,0ms
GSR2-1,IROAD_X9_28AD97,IROAD_X9_28AD97,1c:bf:ce:28:ad:97,wpa2-personal,2g6,20,n,-90,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:61,open,2g1,20,n,-61,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:71,open,5g36,40,n/ac,-64,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,18:64:72:5e:a9:71,open,5g149,40,n/ac,-94,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:62:1f:b1,open,5g120,40,n/ac,-87,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:20,open,2g6,20,n,-81,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:30,open,5g112,40,n/ac,-82,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:30:90,open,5g149,40,n/ac,-81,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:35:50,open,5g104,40,n/ac,-85,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:4f:70,open,5g116,40,n/ac,-84,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:50:a0,open,2g11,20,n,-81,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:50:b0,open,5g153,40,n/ac,-79,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:51:d1,open,5g64,40,n/ac,-89,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:55:90,open,5g132,40,n/ac,-92,100,0ms
