"Location","SSID","Network type","Authentication","Encryption","BSSID","Signal","dBm","Radio type","Channel","Basic rates (Mbps)","Other rates (Mbps)"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","94:b4:0f:92:82:52","20%","-90","802.11ac","120","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:44:b2","35%","-82.5","802.11ac","44","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","38:17:c3:0c:84:c2","33%","-83.5","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","f0:5c:19:ba:bc:c2","33%","-83.5","802.11n","1","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:44:a2","46%","-77","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:ca:10:42","29%","-85.5","802.11n","6","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:48:42","81%","-59.5","802.11n","6","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:48:52","53%","-73.5","802.11ac","136","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:63:61","26%","-87","802.11n","1","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","f0:5c:19:ba:be:f2","20%","-90","802.11ac","40","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:bd:42","60%","-70","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","18:64:72:4c:9a:72","26%","-87","802.11ac","36","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","f4:2e:7f:24:47:10","18%","-91","802.11ac","124","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:bd:52","46%","-77","802.11ac","64","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:63:90","16%","-92","802.11ac","60","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","38:17:c3:0c:7f:e2","22%","-89","802.11n","6","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:66:21","18%","-91","802.11n","1","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","94:b4:0f:92:83:f2","22%","-89","802.11ac","124","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:6b:81","60%","-70","802.11n","6","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:41:82","82%","-59","802.11n","1","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:41:d2","26%","-87","802.11ac","52","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:41:c2","26%","-87","802.11n","6","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:7f:21","82%","-59","802.11n","6","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:3f:f2","38%","-81","802.11ac","116","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:3f:e2","26%","-87","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:4a:21","35%","-82.5","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:62:a0:21","50%","-75","802.11n","6","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:57:41","29%","-85.5","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:62:e2:f1","24%","-88","802.11ac","136","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","20:a6:cd:43:3c:72","20%","-90","802.11ac","136","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:51:c0","22%","-89","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:b0:82","24%","-88","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:30:91","50%","-75","802.11ac","149","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:62:a0:31","46%","-77","802.11ac","112","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:5a:b1","29%","-85.5","802.11ac","48","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:b0:92","20%","-90","802.11ac","48","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:b4:d2","22%","-89","802.11ac","52","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","94:b4:0f:98:73:d2","20%","-90","802.11ac","44","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:4f:71","22%","-89","802.11ac","116","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:6b:91","43%","-78.5","802.11ac","60","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:4f:61","33%","-83.5","802.11n","6","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:50:a1","29%","-85.5","802.11n","11","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:4a:31","26%","-87","802.11ac","124","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:35:51","20%","-90","802.11ac","104","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","f0:5c:19:ba:bc:d2","29%","-85.5","802.11ac","161","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:3c:82","18%","-91","802.11n","1","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:50:b1","29%","-85.5","802.11ac","153","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:7f:31","81%","-59.5","802.11ac","108","12 24","36 48 54"
"SR2-4b","eduroam","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:41:92","22%","-89","802.11ac","100","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fd:b4:c2","31%","-84.5","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:66:30","26%","-87","802.11ac","48","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","18:64:72:4c:9a:61","29%","-85.5","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:35:50","20%","-90","802.11ac","104","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","94:b4:0f:92:82:51","24%","-88","802.11ac","120","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","18:64:72:4c:9a:71","26%","-87","802.11ac","36","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:44:b0","33%","-83.5","802.11ac","44","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","38:17:c3:0c:84:c0","35%","-82.5","802.11n","11","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:ca:10:40","26%","-87","802.11n","6","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","f0:5c:19:ba:bc:c1","33%","-83.5","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:63:60","31%","-84.5","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:44:a0","46%","-77","802.11n","11","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:48:40","80%","-60","802.11n","6","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fd:bd:40","60%","-70","802.11n","11","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fd:b0:80","24%","-88","802.11n","11","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","94:b4:0f:98:73:d1","20%","-90","802.11ac","44","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","f0:5c:19:ba:bc:d1","29%","-85.5","802.11ac","161","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:5a:a0","38%","-81","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:3f:e0","29%","-85.5","802.11n","11","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:3f:f0","38%","-81","802.11ac","116","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:3c:80","20%","-90","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:63:91","16%","-92","802.11ac","60","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","20:a6:cd:43:3c:70","20%","-90","802.11ac","136","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:7f:30","81%","-59.5","802.11ac","108","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:6b:80","57%","-71.5","802.11n","6","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:41:80","82%","-59","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","38:17:c3:0c:7f:e0","22%","-89","802.11n","6","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fd:b4:c0","33%","-83.5","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:48:50","53%","-73.5","802.11ac","136","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:41:c0","72%","-64","802.11n","6","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","94:b4:0f:92:83:f1","24%","-88","802.11ac","124","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","f0:5c:19:ba:be:f1","22%","-89","802.11ac","40","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:4a:20","26%","-87","802.11n","11","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:62:a0:20","43%","-78.5","802.11n","6","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:57:40","26%","-87","802.11n","11","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:62:e2:f0","24%","-88","802.11ac","136","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fd:b0:90","20%","-90","802.11ac","48","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:4f:60","26%","-87","802.11n","6","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fd:bd:50","46%","-77","802.11ac","64","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:35:40","33%","-83.5","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:7f:20","82%","-59","802.11n","6","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:30:90","50%","-75","802.11ac","149","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:41:90","14%","-93","802.11ac","100","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fe:41:d0","22%","-89","802.11ac","52","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:5a:b0","29%","-85.5","802.11ac","48","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","f4:2e:7f:24:47:11","14%","-93","802.11ac","124","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:30:80","38%","-81","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:62:a0:30","46%","-77","802.11ac","112","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:57:50","20%","-90","802.11ac","56","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b4:5d:50:fd:b4:d0","22%","-89","802.11ac","52","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:4f:70","18%","-91","802.11ac","116","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:6b:90","43%","-78.5","802.11ac","60","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:62:1f:b1","33%","-83.5","802.11ac","120","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:50:a0","29%","-85.5","802.11n","11","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:4a:30","24%","-88","802.11ac","124","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:66:20","33%","-83.5","802.11n","1","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:63:50:b0","29%","-85.5","802.11ac","153","12 24","36 48 54"
"SR2-4b","SMU_Visitor","","","","b0:b8:67:62:bf:40","20%","-90","802.11n","6","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b4:5d:50:fe:46:e0","20%","-90","802.11n","6","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","18:64:72:4c:9a:60","29%","-85.5","802.11n","1","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b0:b8:67:63:66:32","26%","-87","802.11ac","48","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","94:b4:0f:92:82:50","22%","-89","802.11ac","120","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b0:b8:67:63:57:52","18%","-91","802.11ac","56","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b0:b8:67:63:63:92","24%","-88","802.11ac","60","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","f0:5c:19:ba:be:f0","22%","-89","802.11ac","40","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b4:5d:50:fe:44:b1","35%","-82.5","802.11ac","44","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b4:5d:50:fe:44:a1","50%","-75","802.11n","11","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b4:5d:50:fd:bd:41","60%","-70","802.11n","11","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b0:b8:67:62:e2:f2","22%","-89","802.11ac","136","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","38:17:c3:0c:84:c1","35%","-82.5","802.11n","11","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b4:5d:50:fe:48:41","81%","-59.5","802.11n","6","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","f0:5c:19:ba:bc:c0","33%","-83.5","802.11n","1","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b0:b8:67:63:63:62","26%","-87","802.11n","1","12 24","36 48 54"
"SR2-4b","WLAN-SMU","","","","b4:5d:50:fd:bd:51","46%","-77","802.11ac","64","12 24","36 48 54"
